ID,PROBLEM,URL,DESCRIPTIONS,EXAMPLES,PROBLEM_DIFFICULTY,CATEGORY,TAG,Similar Questions ID,Accepted,Submissions,Acceptance Rate,Discussion Count,B75,NC.io,B50,G75,LC,SP
118,Parse Lisp Expression,https://leetcode.com/problems/parse-lisp-expression/,"You are given a string expression representing a Lisp-like expression to return the integer value of.

The syntax for these expressions is given as follows.

An expression is either an integer, let expression, add expression, mult expression, or an assigned variable. Expressions always evaluate to a single integer.
(An integer could be positive or negative.)
A let expression takes the form ""(let v1 e1 v2 e2 ... vn en expr)"", where let is always the string ""let"", then there are one or more pairs of alternating variables and expressions, meaning that the first variable v1 is assigned the value of the expression e1, the second variable v2 is assigned the value of the expression e2, and so on sequentially; and then the value of this let expression is the value of the expression expr.
An add expression takes the form ""(add e1 e2)"" where add is always the string ""add"", there are always two expressions e1, e2 and the result is the addition of the evaluation of e1 and the evaluation of e2.
A mult expression takes the form ""(mult e1 e2)"" where mult is always the string ""mult"", there are always two expressions e1, e2 and the result is the multiplication of the evaluation of e1 and the evaluation of e2.
For this question, we will use a smaller subset of variable names. A variable starts with a lowercase letter, then zero or more lowercase letters or digits. Additionally, for your convenience, the names ""add"", ""let"", and ""mult"" are protected and will never be used as variable names.
Finally, there is the concept of scope. When an expression of a variable name is evaluated, within the context of that evaluation, the innermost scope (in terms of parentheses) is checked first for the value of that variable, and then outer scopes are checked sequentially. It is guaranteed that every expression is legal. Please see the examples for more details on the scope.","Example 1:

Input: expression = ""(let x 2 (mult x (let x 3 y 4 (add x y))))""
Output: 14
Explanation: In the expression (add x y), when checking for the value of the variable x,
we check from the innermost scope to the outermost in the context of the variable we are trying to evaluate.
Since x = 3 is found first, the value of x is 3.
Example 2:

Input: expression = ""(let x 3 x 2 x)""
Output: 2
Explanation: Assignment in let statements is processed sequentially.
Example 3:

Input: expression = ""(let x 1 y 2 x (add x y) (add x y))""
Output: 5
Explanation: The first (add x y) evaluates as 3, and is assigned to x.
The second (add x y) evaluates as 3+2 = 5.
 

Constraints:

1 <= expression.length <= 2000
There are no leading or trailing spaces in expression.
All tokens are separated by a single space in expression.
The answer and all intermediate calculations of that answer are guaranteed to fit in a 32-bit integer.
The expression is guaranteed to be legal and evaluate to an integer.",Hard,,"Stack, Recursio",,22.1K,42.8K,51.80%,6,,,,,,
119,Remove All Adjacent Duplicates in String 2,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii/,,,Medium,Stack,Stack,,,,,,,,,,,
120,Simplify Path,https://leetcode.com/problems/simplify-path/,,,Medium,Stack,Stack,,,,,,,,,,,
121,Decode String,https://leetcode.com/problems/decode-string/,,,Medium,Stack,Stack,,,,,,,,,,,
122,Remove K Digits,https://leetcode.com/problems/remove-k-digits/,"Given string num representing a non-negative integer num, and an integer k, return the smallest possible integer after removing k digits from num.

","Example 1:

Input: num = ""1432219"", k = 3
Output: ""1219""
Explanation: Remove the three digits 4, 3, and 2 to form the new number 1219 which is the smallest.
Example 2:

Input: num = ""10200"", k = 1
Output: ""200""
Explanation: Remove the leading 1 and the number is 200. Note that the output must not contain leading zeroes.
Example 3:

Input: num = ""10"", k = 2
Output: ""0""
Explanation: Remove all the digits from the number and it is left with nothing which is 0.
 

Constraints:

1 <= k <= num.length <= 105
num consists of only digits.
num does not have any leading zeros except for the zero itself.",Medium,,"Stack, Greedy, Monotonic Stack",,481.1K,1.4M,33.60%,192,,,,,,
,,,,,,,,,,,,,,,,,,
124,Custom Binary Search Implementation (bisect in Python),https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/discuss/702162/python-lets-implement-pythons-bisect-algorithm,,,,,,,,,,,,,,,,
125,Powerful Binary Search Template for Problem Solving,https://leetcode.com/discuss/general-discussion/786126/python-powerful-ultimate-binary-search-template-solved-many-problems,,,,,,,,,,,,,,,,
126,Binary Search for Beginners,https://leetcode.com/discuss/general-discussion/691825/Binary-Search-for-Beginners-Problems-or-Patterns-or-Sample-solutions,,,,,,,,,,,,,,,,
127,Binary Search,https://leetcode.com/problems/binary-search/,"Given an array of integers nums which is sorted in ascending order, and an integer target, write a function to search target in nums. If target exists, then return its index. Otherwise, return -1.

You must write an algorithm with O(log n) runtime complexity.","Example 1:

Input: nums = [-1,0,3,5,9,12], target = 9
Output: 4
Explanation: 9 exists in nums and its index is 4
Example 2:

Input: nums = [-1,0,3,5,9,12], target = 2
Output: -1
Explanation: 2 does not exist in nums so return -1
 

Constraints:

1 <= nums.length <= 104
-104 < nums[i], target < 104
All the integers in nums are unique.
nums is sorted in ascending order.",Easy,Binary Search,Binary Search,,2.4M,4.2M,57.50%,107,,X,,X,,X
128,Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,,,Medium,Binary Search,Binary Search,,,,,,X,X,X,X,,X
129,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,,,Medium,Binary Search,Binary Search,,,,,,X,X,X,X,X,X
130,Search in Rotated Sorted Array 2,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,,,Medium,Binary Search,Binary Search,,,,,,,,,,,X
131,First Bad Version,https://leetcode.com/problems/first-bad-version/,"You are a product manager and currently leading a team to develop a new product. Unfortunately, the latest version of your product fails the quality check. Since each version is developed based on the previous version, all the versions after a bad version are also bad.

Suppose you have n versions [1, 2, ..., n] and you want to find out the first bad one, which causes all the following ones to be bad.

You are given an API bool isBadVersion(version) which returns whether version is bad. Implement a function to find the first bad version. You should minimize the number of calls to the API.","Example 1:

Input: n = 5, bad = 4
Output: 4
Explanation:
call isBadVersion(3) -> false
call isBadVersion(5) -> true
call isBadVersion(4) -> true
Then 4 is the first bad version.
Example 2:

Input: n = 1, bad = 1
Output: 1
",Easy,Binary Search,Binary Search,,1.7M,3.8M,44.40%,148,,,,X,X,
132,Search for a Range,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,,,Medium,Binary Search,Binary Search,,,,,,,,,,X,
133,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,,,Hard,Binary Search,Binary Search,,,,,,,X,,X,X,X
134,Find Smallest Letter Greater than Target,https://leetcode.com/problems/find-smallest-letter-greater-than-target/,,,Easy,Binary Search,Binary Search,,,,,,,,,,,X
135,Peak Index in a Mountain Array,https://leetcode.com/problems/peak-index-in-a-mountain-array/,,,Easy,Binary Search,Binary Search,,,,,,,,,,,X
136,Kth Smallest Element in a Sorted Matrix,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/,"Given an n x n matrix where each of the rows and columns is sorted in ascending order, return the kth smallest element in the matrix.

Note that it is the kth smallest element in the sorted order, not the kth distinct element.

You must find a solution with a memory complexity better than O(n2).

Follow up:

Could you solve the problem with a constant memory (i.e., O(1) memory complexity)?
Could you solve the problem in O(n) time complexity? The solution may be too advanced for an interview but you may find reading this paper fun.

","Example 1:

Input: matrix = [[1,5,9],[10,11,13],[12,13,15]], k = 8
Output: 13
Explanation: The elements in the matrix are [1,5,9,10,11,12,13,13,15], and the 8th smallest number is 13
Example 2:

Input: matrix = [[-5]], k = 1
Output: -5
 

Constraints:

n == matrix.length == matrix[i].length
1 <= n <= 300
-109 <= matrix[i][j] <= 109
All the rows and columns of matrix are guaranteed to be sorted in non-decreasing order.
1 <= k <= n2",Medium,Matrix,"Binary Search, Heap, Matrix",,614K,982.7K,62.50%,31,,,,,,X
137,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/,,,Medium,Matrix,Binary Search,,,,,,,X,,X,,X
138,Search a 2D Matrix 2,https://leetcode.com/problems/search-a-2d-matrix-ii/,,,Medium,Matrix,Binary Search,,,,,,,,,,X,X
139,Find K Closest Elements,https://leetcode.com/problems/find-k-closest-elements/,,,Medium,Binary Search,Binary Search,,,,,,,,,X,,X
140,Count of Range Sum,https://leetcode.com/problems/count-of-range-sum/,"Given an integer array nums and two integers lower and upper, return the number of range sums that lie in [lower, upper] inclusive.

Range sum S(i, j) is defined as the sum of the elements in nums between indices i and j inclusive, where i <= j.

","Example 1:

Input: nums = [-2,5,-1], lower = -2, upper = 2
Output: 3
Explanation: The three ranges are: [0,0], [2,2], and [0,2] and their respective sums are: -2, -1, 2.
Example 2:

Input: nums = [0], lower = 0, upper = 0
Output: 1
",Hard,Binary Search,"Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set",,76.8K,213.8K,35.90%,14,,,,,,X
141,Find Peak Element,https://leetcode.com/problems/find-peak-element/,,,Medium,Binary Search,Binary Search,,,,,,,,,,,X
142,Koko Eating Bananas,https://leetcode.com/problems/koko-eating-bananas/,,,Medium,Binary Search,Binary Search,,,,,,,X,,,,
143,Search Insert Position,https://leetcode.com/problems/search-insert-position/,,,Easy,Binary Search,Binary Search,,,,,,,,,,,
144,"Find First and Last Position of 
Element in Sorted Array",https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,"Given an array of integers nums sorted in non-decreasing order, find the starting and ending position of a given target value.

If target is not found in the array, return [-1, -1].

You must write an algorithm with O(log n) runtime complexity.

","Example 1:

Input: nums = [5,7,7,8,8,10], target = 8
Output: [3,4]
Example 2:

Input: nums = [5,7,7,8,8,10], target = 6
Output: [-1,-1]
Example 3:

Input: nums = [], target = 0
Output: [-1,-1]",Medium,Binary Search,Binary Search,,2M,4.6M,44.30%,163,,,,,,
145,Valid Perfect Square,https://leetcode.com/problems/valid-perfect-square/,,,Easy,Binary Search,Binary Search,,,,,,,,,,,
146,Guess Number Higher or Lower,https://leetcode.com/problems/guess-number-higher-or-lower/,,,Easy,Binary Search,Binary Search,,,,,,,,,,,
147,Maximum Number of Removable Characters,https://leetcode.com/problems/maximum-number-of-removable-characters/,,,Medium,Binary Search,Binary Search,,,,,,,,,,,
148,Leftmost Column with at Least a One,https://leetcode.com/problems/leftmost-column-with-at-least-a-one/,,,Medium,Binary Search,Binary Search,,,,,,,,,,,
149,Capacity to Ship Packages Within D Days,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/,"A conveyor belt has packages that must be shipped from one port to another within days days.

The ith package on the conveyor belt has a weight of weights[i]. Each day, we load the ship with packages on the conveyor belt (in the order given by weights). We may not load more weight than the maximum weight capacity of the ship.

Return the least weight capacity of the ship that will result in all the packages on the conveyor belt being shipped within days days.","Example 1:

Input: weights = [1,2,3,4,5,6,7,8,9,10], days = 5
Output: 15
Explanation: A ship capacity of 15 is the minimum to ship all the packages in 5 days like this:
1st day: 1, 2, 3, 4, 5
2nd day: 6, 7
3rd day: 8
4th day: 9
5th day: 10

Note that the cargo must be shipped in the order given, so using a ship of capacity 14 and splitting the packages into parts like (2, 3, 4, 5), (1, 6, 7), (8), (9), (10) is not allowed.
Example 2:

Input: weights = [3,2,2,4,1,4], days = 3
Output: 6
Explanation: A ship capacity of 6 is the minimum to ship all the packages in 3 days like this:
1st day: 3, 2
2nd day: 2, 4
3rd day: 1, 4
Example 3:

Input: weights = [1,2,3,1,1], days = 4
Output: 3
Explanation:
1st day: 1
2nd day: 2
3rd day: 3
4th day: 1, 1
",Medium,Binary Search,Binary Search,,377.7K,543.6K,69.50%,124,,,,,,
150,Cutting Ribbons,https://leetcode.com/problems/cutting-ribbons/,,,Medium,Binary Search,Binary Search,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
152,Convert 1D Array into 2D Array,https://leetcode.com/problems/convert-1d-array-into-2d-array/,,,Easy,Matrix,Matrix,,,,,,,,,,,X
153,Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,,,Medium,Math,Matrix,,,,,,X,X,,X,,X
154,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,"Given an m x n matrix, return all elements of the matrix in spiral order.

","Example 1:


Input: matrix = [[1,2,3],[4,5,6],[7,8,9]]
Output: [1,2,3,6,9,8,7,4,5]
Example 2:


Input: matrix = [[1,2,3,4],[5,6,7,8],[9,10,11,12]]
Output: [1,2,3,4,8,12,11,10,9,5,6,7]",Medium,Math,Matrix,,1.4M,2.9M,49.60%,116,X,X,,X,X,X
155,Rotate Image,https://leetcode.com/problems/rotate-image/,,,Medium,Math,Matrix,,,,,,X,X,,X,,X
156,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/,,,Medium,Arrays & Hashing,Matrix,,,,,,,X,,X,,
157,01 Matrix,https://leetcode.com/problems/01-matrix/,,,Medium,Matrix,Matrix,,,,,,,,,X,,
,,,,,,,,,,,,,,,,,,
159,Reverse a Linked List,https://leetcode.com/problems/reverse-linked-list/,"Given the head of a singly linked list, reverse the list, and return the reversed list.

Follow up: A linked list can be reversed either iteratively or recursively. Could you implement both?


","Example 1:


Input: head = [1,2,3,4,5]
Output: [5,4,3,2,1]
Example 2:


Input: head = [1,2]
Output: [2,1]
Example 3:

Input: head = []
Output: []
",Easy,Linked List,Linked List,,4.1M,5.4M,76.60%,197,X,X,X,X,X,X
